reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
88,"1-methyl-4-prop- 1-en-2-yl- cyclohexene; dl-limonene (racemic); Dipentene
(R)-p- mentha-1,8-diene; (d-limonene);
(S)-p- mentha-1,8-diene; (l-limonene);",Limonene,"138-86-3/ 7705-14-8; 5989-27-5; 5989-54-8","205-341-0/ 231-732-0; 227-813-5; 227-815-6",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products. The peroxide value for each substance shall be less than 20 mmoles/L (This limit applies to the substance and  not to the finished cosmetic product).",,"(EU) 2023/1545",,,"d-Limonene(4R)-1- Methyl-4-(1-methylethenyl) cyclohexene","1-METHYL-4-METHYLVINYL-CYCLOHEXENE,LIMONENE",,11/09/2023
89,"Methyl 2-Octynoate",-,111-12-6,203-836-6,"(a) Oral products
(b) Other products","(b) 0.01% when used alone
When present in combination with methyl octine carbonate, the combined level in the finished product shall not exceed 0,01 % (of which methyl octine carbonate shall not be more than 0,002 %)","(a)(b)
The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2013/344",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy,An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,Opinion on Clarifications to SCCNFP/0392/00 ""An initial List of Perfumery Materials which must not form part of Cosmetic Products except subject to the Restrictions and Conditions laid down""","Methyl Oct-2-ynoate; Methyl heptine carbonate","METHYL 2-OCTYNOATE",,17/05/2013
90,"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-3-buten-2-one","ALPHA-ISOMETHYL IONONE",127-51-5,204-846-3,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",,"ALPHA-ISOMETHYL IONONE",,17/10/2010
91,"Oak moss extract","EVERNIA PRUNASTRI EXTRACT",90028-68-5,289-861-3,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion on Atranol and Chloroatranol in Natural Extracts,Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy,Opinion concerning Oakmoss/Treemoss Extracts And Appropriate Consumer Information,Opinion on Oak Moss / Tree Moss (sensitisation only)",,"EVERNIA PRUNASTRI EXTRACT,EVERNIA PRUNASTRI LICHEN EXTRACT",,17/10/2010
92,"Treemoss extract","EVERNIA FURFURACEA EXTRACT",90028-67-4,289-860-8,,,"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)g when its concentration exceeds: 
- 0.001% in leave-on products
- 0.01% in rinse-off products",,"(EC) 2009/1223",,"Opinion on Atranol and Chloroatranol in Natural Extracts,Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy,Opinion concerning Oakmoss/Treemoss Extracts And Appropriate Consumer Information,Opinion on Oak Moss / Tree Moss (sensitisation only)",,"EVERNIA FURFURACEA LICHEN EXTRACT,EVERNIA FURFURACEA EXTRACT",,17/10/2010
93,"2,4-Pyrimidinediamine, 3-oxide","DIAMINOPYRIMIDINE OXIDE",74638-76-9,-,"Hair products",1.5%,,,"(EC) 2009/1223",,"Opinion concerning Diaminopyrimidine oxide (2,4-DPO)",,"DIAMINOPYRIMIDINE OXIDE",,04/11/2010
94,"Dibenzoyl peroxide","BENZOYL PEROXIDE",94-36-0,202-327-6,"Artificial nail systems","0.7% (after mixing for use)","Professional use ","For professional use only 
Avoid skin contact
Read directions for use carefully","(EC) 2009/1223",,"Opinion on The Use of Benzoyl Peroxide (BPO), Hydroquinone (HQ), Hydroquinone methylether (MEHQ) in artificial nail systems",,"BENZOYL PEROXIDE",,04/11/2010
95,"Hydroquinone methylether / Mequinol",P-HYDROXYANISOLE,150-76-5,205-769-8,"Artificial nail systems","0.02% (after mixing for use)","Professional use","For professional use only
Avoid skin contact 
Read directions for use carefully","(EC) 2009/1223",,"Opinion on The Use of Benzoyl Peroxide (BPO), Hydroquinone (HQ), Hydroquinone methylether (MEHQ) in artificial nail systems",4-methoxyphenol,p-HYDROXYANISOLE,,04/11/2010
96,"5-tert-Butyl-2,4,6-trinitro-m-xylene","MUSK XYLENE",81-15-2,201-329-4,"All cosmetic products, with the exception of oral products

Note: 'Due to environmental concerns, musk xylene is included in the authorisation list (Annex IV) of REACH. Musk xylene cannot be placed on the market or used unless authorisation has been granted under REACH’","(a) 1.0% in fine fragrance
(b) 0.4% in eau de toilette
(c) 0.03% in other products
",,,"(EC) 2009/1223","(EC) 2008/1272","Opinion on Musk ketone and Musk xylene,Opinion on Musk ketone and Musk xylene,Opinion on Musk xylene","5-tert-butyl-2,4,6-trinitro-m-xylene","MUSK XYLENE","Carcinogenic Cat. 2()",01/04/2021
97,"4'-tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone","MUSK KETONE",81-14-1,201-328-9,"All cosmetic products, with the exception of oral care products
","(a) 1.4% in fine fragrance
(b) 0.56% in eau de toilette
(c) 0.042% in other products
",,,"(EC) 2009/1223","(EC) 2009/790","Opinion on Diethyl phthalate,Opinion on Musk ketone and Musk xylene,Opinion on Musk ketone","4'-tert-Butyl-2',6'-dimethyl-3',5'-dinitroacetophenone ","MUSK KETONE","Carcinogenic Cat. 2()",23/05/2022
98,"Benzoic acid, 2-hydroxy-","SALICYLIC ACID",69-72-7,200-712-3,"(a) Rinse-off hair products

(b) Other products except body lotion, eye shadow, mascara, eyeliner, lipstick, roll-on deodorant

(c) Body lotion, eye shadow, mascara, eyeliner, lipstick, roll-on deodorant","(a) 3.0%

(b) 2.0%

(c) 0.5%
","(a) (b) (c)

Not to be used in preparations for children under 3 years of age. Not to be used in applications that may lead to exposure of the end-user’s lungs by inhalation. Not to be used in oral products. For purposes other than inhibiting the development of micro-organisms in the product. This purpose has to be apparent from the presentation of the product.

These levels are inclusive of any use of salicylic acid.","(a) (b) (c)

Not to be used for children under 3 years of age*

* Solely for products which might be used for children under 3 years of age.","(EU) 2021/850",,,"2-hydroxy benzoic acid ","SALICYLIC ACID, CALCIUM SALICYLATE, MAGNESIUM SALICYLATE, MEA- SALICYLATE, SODIUM SALICYLATE, POTASSIUM SALICYLATE, TEA- SALICYLATE,SALICYLIC ACID","Reprotoxic Cat. 2()",07/12/2023
99,"Inorganic sulfites and bisulfites (12)",-,-,-,"(a) Oxidative hair dye products
(b) Hair straightening products
(c) Self-tanning products for the face
(d) Other self-tanning products
","(a) 0.67% (as free SO2)
(b) 6.7% (as free SO2)
(c) 0.45% (as free SO2)
(d) 0.40% (as free SO2)
","For purposes other than inhibiting the development of micro-organisms in the product. This purpose has to be apparent from the presentation of the product
 
",,"(EC) 2009/1223",,"Opinion concerning Inorganic Sulfites and Bisulfites",,"SODIUM SULFITE / AMMONIUM BISULFITE / AMMONIUM SULFITE / POTASSIUM SULFITE / POTASSIUM hydrogen SULFITE / SODIUM BISULFITE / SODIUM METABISULFITE / POTASSIUM METABISULFITE,AMMONIUM BISULFITE,AMMONIUM SULFITE,POTASSIUM METABISULFITE,POTASSIUM SULFITE,SODIUM BISULFITE,SODIUM METABISULFITE,SODIUM SULFITE",,17/10/2010
100,"1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea (13)",TRICLOCARBAN,101-20-2,202-924-1,"Rinse-off products",1.5%,"Purity criteria: 
3, 3', 4, 4'-Tetrachloroazobenzene",,"(EC) 2009/1223",,"Opinion on Triclocarban - For other uses than as a preservative",,"TRICLOCARBAN,TRICLOCARBAN",,04/11/2010
102,"1,2-Dimethoxy-4-(2-propenyl)-benzene","METHYL EUGENOL",93-15-2,202-223-0,"(a) Fine fragrance
(b) Eau de toilette
(c) Fragrance cream
(d) Other leave-on products and oral products
(e) Rinse-off products
","(a) 0.01%
(b) 0.004%
(c) 0.002%
(d) 0.0002%
(e) 0.001%",,,"(EC) 2009/1223",,"Opinion concerning Methyleugenol",,"METHYL EUGENOL",,20/10/2010
103,"Abies alba oil and extract","ABIES ALBA CONE OIL; ABIES ALBA CONE EXTRACT; ABIES ALBA LEAF OIL; ABIES ALBA LEAF CERA; ABIES ALBA NEEDLE EXTRACT; ABIES ALBA NEEDLE OIL",90028-76-5,289-870-2,,,"Peroxide value less than 10 mmoles/L  (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",,"ABIES ALBA CONE EXTRACT,ABIES ALBA CONE OIL,ABIES ALBA NEEDLE EXTRACT,ABIES ALBA NEEDLE OIL,ABIES ALBA LEAF CERA,ABIES ALBA LEAF OIL",,17/05/2013
105,"Abies pectinata oil and extract",-,92128-34-2,295-728-0,,,"Peroxide value less than 10 mmoles/L  (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",,"ABIES PECTINATA OIL,ABIES PECTINATA NEEDLE EXTRACT,ABIES PECTINATA NEEDLE OIL,ABIES PECTINATA LEAF EXTRACT",,17/05/2013
106,"Abies sibirica oil and extract",-,91697-89-1,294-351-9,,,"Peroxide value less than 10 mmoles/L (15 ) ","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2012/1000",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",,"ABIES SIBIRICA OIL,ABIES SIBIRICA NEEDLE EXTRACT,ABIES SIBIRICA NEEDLE OIL",,17/05/2013
107,"Abies balsamea oil and extract",-,85085-34-3,285-364-0,,,"Peroxide value less than 10 mmoles/L (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",,"ABIES BALSAMEA BALSAM EXTRACT,ABIES BALSAMEA NEEDLE EXTRACT,ABIES BALSAMEA RESIN,ABIES BALSAMEA EXTRACT,ABIES BALSAMEA NEEDLE OIL",,17/05/2013
108,"Pinus mugo pumilio oil and extract",-,90082-73-8,290-164-1,,,"Peroxide value less than 10 mmoles/L  (15 ) ","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",,"PINUS MUGO PUMILIO TWIG LEAF EXTRACT,PINUS MUGO PUMILIO TWIG LEAF OIL",,17/05/2013
109,"Pinus mugo leaf and twig oil and extract","Pinus Mugo Leaf Oil; Pinus Mugo Twig Leaf Extract; Pinus Mugo Twig Oil",90082-72-7,290-163-6,,,"The presence of the substance or substances shall be indicated as ‘Pinus Mugo’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products.
The peroxide value shall be less than 10 mmoles/L (This limit applies to the substance and not to the finished cosmetic product).",,"(EU) 2023/1545",,,,"PINUS MUGO TWIG LEAF EXTRACT,PINUS MUGO TWIG OIL,PINUS MUGO LEAF OIL",,11/09/2023
110,"Pinus sylvestris oil and extract",-,84012-35-1,281-679-2,,,"Peroxide value less than 10 mmoles/L  (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",,"PINUS SYLVESTRIS LEAF EXTRACT,PINUS SYLVESTRIS TWIG LEAF EXTRACT,PINUS SYLVESTRIS TWIG LEAF OIL,PINUS SYLVESTRIS BARK EXTRACT,PINUS SYLVESTRIS BUD EXTRACT,PINUS SYLVESTRIS LEAF OIL,PINUS SYLVESTRIS LEAF WATER,PINUS SYLVESTRIS CONE EXTRACT,PINUS SYLVESTRIS OIL",,17/05/2013
111,"Pinus nigra oil and extract",-,90082-74-9,290-165-7,,,"Peroxide value less than 10 mmoles/L   (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down",,"PINUS NIGRA TWIG LEAF EXTRACT,PINUS NIGRA TWIG LEAF OIL,PINUS NIGRA BUD/NEEDLE EXTRACT",,17/05/2013
112,"Pinus palustris oil and extract",-,"97435-14-8 --  8002-09-3",306-895-7,,,"Peroxide value less than 10 mmoles/L   (15 ) ","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"PINUS PALUSTRIS LEAF EXTRACT,PINUS PALUSTRIS TWIG LEAF EXTRACT,PINUS PALUSTRIS TWIG LEAF OIL,PINUS PALUSTRIS OIL",,17/05/2013
113,"Pinus pinaster oil and extract",-,90082-75-0,290-166-2,,,"Peroxide value less than 10 mmoles/L  (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"PINUS PINASTER TWIG LEAF EXTRACT,PINUS PINASTER TWIG LEAF OIL",,17/05/2013
114,"Pinus pumila leaf and twig oil and extract","Pinus Pumila Needle Extract;  Pinus Pumila Twig Leaf Extract;  Pinus Pumila Twig Leaf Oil",97676-05-6,307-681-6,,,"The presence of the substance or substances shall be indicated as ‘Pinus Pumila’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products.
The peroxide value shall be less than 10 mmoles/L. (This limit applies to the substance and not to the finished cosmetic product)",,"(EU) 2023/1545",,,,"PINUS PUMILA TWIG LEAF EXTRACT,PINUS PUMILA TWIG LEAF OIL",,11/09/2023
115,"Pinus species oil and extract",-,94266-48-5,304-455-9,,,"Peroxide value less than 10 mmoles/L  (15 )","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"PINUS SPECIES TWIG LEAF EXTRACT,PINUS SPECIES TWIG LEAF OIL,PINUS STROBUS BARK EXTRACT,PINUS STROBUS CONE EXTRACT,PINUS STROBUS TWIG OIL",,17/05/2013
116,"Pinus cembra oil and extract",-,92202-04-5,296-036-1,,,"Peroxide value less than 10 mmoles/L (15)","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"PINUS CEMBRA TWIG LEAF EXTRACT,PINUS CEMBRA TWIG LEAF OIL",,17/05/2013
117,"Pinus cembra extract acetylated",-,94334-26-6,305-102-1,,,"Peroxide value less than 10 mmoles/L (15)","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"PINUS CEMBRA TWIG LEAF EXTRACT ACETYLATED",,17/05/2013
118,"Picea Mariana Oil and Extract",-,91722-19-9,294-420-3,,,"Peroxide value less than 10 mmoles/L  (15 ) ","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"PICEA MARIANA LEAF EXTRACT,PICEA MARIANA LEAF OIL",,17/05/2013
119,"Thuja Occidentalis Oil and Extract",-,90131-58-1,290-370-1,,,"Peroxide value less than 10 mmoles/L  (15)","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"THUJA OCCIDENTALIS STEM OIL,THUJA OCCIDENTALIS LEAF,THUJA OCCIDENTALIS ROOT EXTRACT,THUJA OCCIDENTALIS BARK EXTRACT,THUJA OCCIDENTALIS LEAF EXTRACT,THUJA OCCIDENTALIS LEAF OIL",,17/05/2013
121,"3-Carene;
3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene (isodiprene)",-,13466-78-9,236-719-3,,,"Peroxide value less than 10 mmoles/L  (15 ) ","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,3-CARENE,,17/05/2013
122,"Cedrus atlantica oil and extract","Cedrus Atlantica Bark Extract;  Cedrus Atlantica Bark Oil;  Cedrus Atlantica Bark Water;  Cedrus Atlantica Leaf Extract;  Cedrus Atlantica Wood Extract;  Cedrus Atlantica Wood Oil","92201-55-3/ 8023-85-6","295-985-9/ -",,,"The presence of the substance or substances shall be indicated as ‘Cedrus Atlantica Oil/ Extract’ in the list of ingredients referred to in Article 19(1), point (g), when the concentration of the substance or substances exceeds:
— 0,001 % in leave-on products
— 0,01 % in rinse-off products.
The peroxide value shall be less than 10 mmoles/L (This limit applies to the substance and not to the finished cosmetic product)",,"(EU) 2023/1545",,,,"CEDRUS ATLANTICA WOOD EXTRACT,CEDRUS ATLANTICA WOOD OIL,CEDRUS ATLANTICA BARK EXTRACT,CEDRUS ATLANTICA BARK OIL,CEDRUS ATLANTICA BARK WATER,CEDRUS ATLANTICA LEAF EXTRACT",,11/09/2023
123,"Cupressus sempervirens oil and extract",-,84696-07-1,283-626-9,,,"Peroxide value less than 10 mmoles/L (15)","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"CUPRESSUS SEMPERVIRENS CONE EXTRACT,CUPRESSUS SEMPERVIRENS LEAF EXTRACT,CUPRESSUS SEMPERVIRENS BARK EXTRACT,CUPRESSUS SEMPERVIRENS FRUIT EXTRACT,CUPRESSUS SEMPERVIRENS LEAF WATER,CUPRESSUS SEMPERVIRENS LEAF/NUT/STEM OIL,CUPRESSUS SEMPERVIRENS LEAF/STEM EXTRACT,CUPRESSUS SEMPERVIRENS SEED EXTRACT,CUPRESSUS SEMPERVIRENS LEAF OIL,CUPRESSUS SEMPERVIRENS OIL",,17/05/2013
124,"Turpentine gum (Pinus spp.); Turpentine oil and rectified oil; Turpentine, steam distilled (Pinus spp.)",Turpentine,"9005-90-7; 8006-64-2; 8052-14-0","232-688-5; 232-350-7; -",,,"The presence of the substance shall be indicated in the list of ingredients referred to in Article 19(1), point (g), when its concentration exceeds: — 0,001 % in leave-on products — 0,01 % in rinse-off products. The peroxide value for each substance shall be less than 10 mmoles/L. (This limit applies to the substance and not to the finished cosmetic product).",,"(EU) 2023/1545",,,,TURPENTINE,,11/09/2023
127,"Terpene alcohols acetates",-,69103-01-1,273-868-3,,,"Peroxide value less than 10 mmoles/L  (15)","(15 ) This limit applies to the substance and not to the finished cosmetic product.’","(EC) 2013/344",,"An Initial List of Perfumery Materials which must not form part of Cosmetic products except subject to the restrictions and conditions laid down,The 1st Update of the Inventory of Ingredients employed in Cosmetic Products. Section II: Perfume and Aromatic Raw Materials",,"TERPENE ALCOHOLS ACETATES",,17/05/2013
